year,한국,아르메니아,아제르바이잔,바레인,브루나이,키프로스,조지아,홍콩,이란,이스라엘,일본,카자흐스탄,쿠웨이트,키르기스스탄,마카오,말레이시아,몰디브,몽골,미얀마,오만,필리핀,카타르,사우디아라비아,싱가포르,대만,타지키스탄,태국,터키,아랍에미리트,우즈베키스탄,북아메리카,버뮤다,캐나다,그린란드,멕시코,미국,남아메리카,앤티가바부다,아르헨티나,아루바,벨리즈,브라질,영국령버진아일랜드,케이맨제도,칠레,콜롬비아,코스타리카,쿠바,도미니카공화국,에콰도르,과들루프,과테말라,마르티니크,몬트세랫,파나마,파라과이,페루,푸에르토리코,세인트빈센트그레나딘,수리남,터크스케이커스제도,우루과이,베네수엘라,유럽,알바니아,안도라,오스트리아,벨라루스,벨기에,불가리아,크로아티아,체코,덴마크,에스토니아,페로제도,핀란드,프랑스,독일,지브롤터,그리스,헝가리,아이슬란드,아일랜드,맨섬,이탈리아,라트비아,리히텐슈타인,리투아니아,룩셈부르크,북마케도니아,몰타,몰도바,네덜란드,노르웨이,폴란드,포르투갈,루마니아,산마리노,슬로바키아,슬로베니아,스페인,스웨덴,스위스,우크라이나,영국
2016,406243,40592,159464,20714,6437,9455,56569,60856,1487873,181405,976978,NA,58797,158160,NA,508203,6756,79920,765844,88346,1731289,26816,NA,41251,208440,230044,NA,1309771,NA,NA,NA,591,383102,830,2028358,NA,NA,NA,728035,1121,7200,2803080,NA,NA,NA,647521,70004,116872,139583,266464,NA,390382,NA,46,75184,122336,522266,28326,NA,9910,518,47058,NA,NA,31733,NA,87675,117779,121896,64984,37537,112663,61614,14053,NA,52814,NA,792137,424,92898,95361,NA,63836,731,473438,21968,NA,30623,6050,23002,4476,37394,172520,58890,382257,87126,200009,NA,57557,20345,408734,117425,87883,397037,774386
2017,357771,37700,144041,20581,6452,9229,53293,56548,1450271,183648,946065,390262,59172,153620,6529,508685,6723,75321,787172,90371,1700618,27906,488130,39615,193844,224057,656570,1291055,97738,715519,NA,576,376291,853,2000591,NA,NA,NA,704609,1202,NA,2874466,248,NA,219186,656704,68816,114971,148061,288123,4626,NA,3640,NA,76166,NA,511867,24370,1539,9785,NA,NA,579349,NA,30869,NA,87633,102556,119690,63955,36556,114405,61397,13784,655,50321,NA,784901,NA,88553,94646,4071,61824,NA,458151,20828,338,28696,6174,21754,4319,34060,169836,56633,401982,86154,202151,228,57969,20241,391265,115416,87381,363987,754754
2018,326822,36574,138982,19740,6199,9329,51138,53716,1334962,184370,918400,397799,56121,171149,NA,501945,NA,78444,NA,89071,1668120,28069,NA,NA,181601,NA,628450,1248847,95309,768520,NA,530,372329,819,NA,3791712,NA,1015,685394,NA,7775,NA,NA,640,NA,NA,68479,116333,NA,293139,4249,383263,NA,NA,76863,NA,NA,21467,NA,9809,NA,40139,NA,NA,28934,543,85535,94042,118319,62197,36945,114036,61476,14367,684,47577,719737,787523,NA,86440,93467,4228,61022,NA,439747,19314,378,28149,6274,21333,4444,32606,168525,55120,388178,87020,202744,NA,57639,19585,370827,115832,87851,NA,730918
2019,302676,NA,NA,NA,NA,NA,NA,52856,NA,NA,NA,402310,NA,NA,5979,NA,NA,79580,NA,86819,NA,NA,NA,39279,177767,NA,NA,NA,NA,NA,NA,NA,NA,849,NA,NA,NA,NA,NA,1029,NA,NA,NA,646,NA,638516,64287,NA,167686,NA,NA,NA,NA,NA,NA,NA,485269,20409,NA,NA,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-
2020,272337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-
